ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,PUBLIC DOCUMENT COUNT,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,REPORTING-OWNER,REPORTING-OWNER_OWNER_DATA,REPORTING-OWNER_COMPANY_CONFORMED_NAME,REPORTING-OWNER_CENTRAL_INDEX_KEY,REPORTING-OWNER_FILING_VALUES,REPORTING-OWNER_FORM_TYPE,REPORTING-OWNER_SEC_ACT,REPORTING-OWNER_SEC_FILE_NUMBER,REPORTING-OWNER_FILM_NUMBER,REPORTING-OWNER_MAIL_ADDRESS,REPORTING-OWNER_STREET_1,REPORTING-OWNER_STREET_2,REPORTING-OWNER_CITY,REPORTING-OWNER_STATE,REPORTING-OWNER_ZIP,ISSUER,ISSUER_COMPANY_DATA,ISSUER_COMPANY_CONFORMED_NAME,ISSUER_CENTRAL_INDEX_KEY,ISSUER_STANDARD_INDUSTRIAL_CLASSIFICATION,ISSUER_IRS_NUMBER,ISSUER_STATE_OF_INCORPORATION,ISSUER_FISCAL_YEAR_END,ISSUER_BUSINESS_ADDRESS,ISSUER_STREET_1,ISSUER_STREET_2,ISSUER_CITY,ISSUER_STATE,ISSUER_ZIP,ISSUER_BUSINESS_PHONE,ISSUER_MAIL_ADDRESS,ISSUER_FORMER_COMPANY,ISSUER_FORMER_CONFORMED_NAME,ISSUER_DATE_OF_NAME_CHANGE,ITEM INFORMATION,EFFECTIVENESS DATE,FILER,FILER_COMPANY_DATA,FILER_COMPANY_CONFORMED_NAME,FILER_CENTRAL_INDEX_KEY,FILER_IRS_NUMBER,FILER_STATE_OF_INCORPORATION,FILER_FISCAL_YEAR_END,FILER_FILING_VALUES,FILER_FORM_TYPE,FILER_SEC_ACT,FILER_SEC_FILE_NUMBER,FILER_FILM_NUMBER,FILER_BUSINESS_ADDRESS,FILER_STREET_1,FILER_CITY,FILER_STATE,FILER_ZIP,FILER_BUSINESS_PHONE,FILER_MAIL_ADDRESS,REPORTING-OWNER_BUSINESS_ADDRESS,REPORTING-OWNER_BUSINESS_PHONE,REPORTING-OWNER_STATE_OF_INCORPORATION,REPORTING-OWNER_FISCAL_YEAR_END,GROUP MEMBERS,SUBJECT COMPANY,SUBJECT_COMPANY_COMPANY_DATA,SUBJECT_COMPANY_COMPANY_CONFORMED_NAME,SUBJECT_COMPANY_CENTRAL_INDEX_KEY,SUBJECT_COMPANY_STANDARD_INDUSTRIAL_CLASSIFICATION,SUBJECT_COMPANY_IRS_NUMBER,SUBJECT_COMPANY_FISCAL_YEAR_END,SUBJECT_COMPANY_FILING_VALUES,SUBJECT_COMPANY_FORM_TYPE,SUBJECT_COMPANY_SEC_ACT,SUBJECT_COMPANY_SEC_FILE_NUMBER,SUBJECT_COMPANY_FILM_NUMBER,SUBJECT_COMPANY_BUSINESS_ADDRESS,SUBJECT_COMPANY_STREET_1,SUBJECT_COMPANY_CITY,SUBJECT_COMPANY_STATE,SUBJECT_COMPANY_ZIP,SUBJECT_COMPANY_BUSINESS_PHONE,SUBJECT_COMPANY_MAIL_ADDRESS,SUBJECT_COMPANY_FORMER_COMPANY,SUBJECT_COMPANY_FORMER_CONFORMED_NAME,SUBJECT_COMPANY_DATE_OF_NAME CHANGE,FILED BY,FILED_BY_COMPANY_DATA,FILED_BY_COMPANY_CONFORMED_NAME,FILED_BY_CENTRAL_INDEX_KEY,FILED_BY_FILING_VALUES,FILED_BY_FORM_TYPE,FILED_BY_MAIL_ADDRESS,FILED_BY_STREET_1,FILED_BY_CITY,FILED_BY_STATE,FILED_BY_ZIP,SUBJECT_COMPANY_STATE_OF_INCORPORATION,SUBJECT_COMPANY_STREET_2,FILED_BY_IRS_NUMBER,FILED_BY_STATE_OF_INCORPORATION,FILED_BY_FISCAL_YEAR_END,FILED_BY_BUSINESS_ADDRESS,FILED_BY_BUSINESS_PHONE,FILER_STANDARD_INDUSTRIAL_CLASSIFICATION,FILER_FORMER_COMPANY,FILER_FORMER_CONFORMED_NAME,FILER_DATE_OF_NAME_CHANGE,FILER_STREET_2,FILED_BY_STANDARD_INDUSTRIAL_CLASSIFICATION,FILED_BY_STREET_2,FILED_BY_FORMER_COMPANY,FILED_BY_FORMER_CONFORMED_NAME,FILED_BY_DATE_OF_NAME CHANGE
0000950103-20-023643,424B2,3,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365213,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023645,424B2,15,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365223,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023657,424B2,5,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365313,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023659,424B2,5,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365316,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023660,424B2,15,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365320,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023664,424B2,4,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365351,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023668,424B2,4,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365414,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023669,424B2,2,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365418,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023689,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365673,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023694,424B2,2,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365953,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023695,424B2,2,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365959,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023697,424B2,2,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365994,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023703,424B2,12,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366165,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023705,424B2,3,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366207,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023709,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366244,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023710,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366255,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023715,424B2,13,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366412,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023718,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366449,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023721,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201366503,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023752,424B2,5,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201367793,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023635,FWP,3,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",112418067,1231,,FWP,1934 Act,333-224495-03,201364929,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,SALOMON INC,19920703,,,Citigroup Global Markets Holdings Inc.,0000200245,,FWP,,388 GREENWICH ST,NEW YORK,NY,10013,NY,38TH FLOOR,112418067,NY,1231,,2128166000,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",38TH FLOOR,,SALOMON INC,19920703
0000950103-20-023656,FWP,3,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",112418067,1231,,FWP,1934 Act,333-224495-03,201365312,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,SALOMON INC,19920703,,,Citigroup Global Markets Holdings Inc.,0000200245,,FWP,,388 GREENWICH ST,NEW YORK,NY,10013,NY,38TH FLOOR,112418067,NY,1231,,2128166000,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",38TH FLOOR,,SALOMON INC,19920703
0000950103-20-023693,FWP,3,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",112418067,1231,,FWP,1934 Act,333-224495-03,201365923,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,SALOMON INC,19920703,,,Citigroup Global Markets Holdings Inc.,0000200245,,FWP,,388 GREENWICH ST,NEW YORK,NY,10013,NY,38TH FLOOR,112418067,NY,1231,,2128166000,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",38TH FLOOR,,SALOMON INC,19920703
0000950103-20-023725,FWP,3,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",112418067,1231,,FWP,1934 Act,333-224495-03,201366532,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,SALOMON INC,19920703,,,Citigroup Global Markets Holdings Inc.,0000200245,,FWP,,388 GREENWICH ST,NEW YORK,NY,10013,NY,38TH FLOOR,112418067,NY,1231,,2128166000,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",38TH FLOOR,,SALOMON INC,19920703
0001831544-20-000002,D/A,1,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<ITEMS>06b,20201203,,,"Citronelle Square Apartments, LLLP",0001831544,853457425,AL,1231,,D/A,1933 Act,021-379855,201365864,,6135 GRAND BAY WILMER ROAD SOUTH,GRAND BAY,AL,36541,251-599-8146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
